device,r_s,rkb_s,rrqm_s,pct_rrqm,r_await,rareq_sz,w_s,wkb_s,wrqm_s,pct_wrqm,w_await,wareq_sz,d_s,dkb_s,drqm_s,pct_drqm,d_await,dareq_sz,f_s,f_await,aqu_sz,pct_util,sample_timestamp
sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:03+00:00
sdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:03+00:00
sdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:03+00:00
sdd,568.0,36060.0,56.0,8.97,0.2,63.49,23.0,92.0,0.0,0.0,0.65,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,12.8,2026-03-20T11:26:03+00:00
sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:04+00:00
sdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:04+00:00
sdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:04+00:00
sdd,0.0,0.0,0.0,0.0,0.0,0.0,30.0,120.0,0.0,0.0,0.83,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.8,2026-03-20T11:26:04+00:00
sda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:05+00:00
sdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:05+00:00
sdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03-20T11:26:05+00:00
sdd,0.0,0.0,0.0,0.0,0.0,0.0,29.0,116.0,0.0,0.0,0.93,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.2,2026-03-20T11:26:05+00:00
